Player_ID,First_Name,Last_Name,Current_Team_ID,Current_Team_Full_Name,Current_Team_Name,Position,Current_Team_Abbr,Current_Team_City,Current_Team_Conf,Current_Team_Div
2178,Jonathan,Gibson,2,Boston Celtics,Celtics,,BOS,Boston,East,Atlantic
195,Devin,Harris,7,Dallas Mavericks,Mavericks,G,DAL,Dallas,West,Southwest
1988,Donatas,Motiejunas,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
332,Timofey,Mozgov,22,Orlando Magic,Magic,C,ORL,Orlando,East,Southeast
363,Tony,Parker,4,Charlotte Hornets,Hornets,G,CHA,Charlotte,East,Southeast
17896103,Jay,Huff,14,Los Angeles Lakers,Lakers,F-C,LAL,Los Angeles,West,Pacific
311,Jodie,Meeks,28,Toronto Raptors,Raptors,G,TOR,Toronto,East,Atlantic
312,Salah,Mejri,7,Dallas Mavericks,Mavericks,C,DAL,Dallas,West,Southwest
461,Dwyane,Wade,16,Miami Heat,Heat,G,MIA,Miami,East,Southeast
2160,Isaiah,Whitehead,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
477,Alan,Williams,3,Brooklyn Nets,Nets,F-C,BKN,Brooklyn,East,Atlantic
483,Troy,Williams,26,Sacramento Kings,Kings,F,SAC,Sacramento,West,Pacific
3450,Deng,Adel,3,Brooklyn Nets,Nets,,BKN,Brooklyn,East,Atlantic
17895956,Tyrique,Jones,24,Phoenix Suns,Suns,F-C,PHX,Phoenix,West,Pacific
17554005,Mac,McClung,14,Los Angeles Lakers,Lakers,G,LAL,Los Angeles,West,Pacific
17896105,Matt,Coleman III,26,Sacramento Kings,Kings,G,SAC,Sacramento,West,Pacific
2048,Anthony,Bennett,11,Houston Rockets,Rockets,,HOU,Houston,West,Southwest
1891701,Eric,Mika,26,Sacramento Kings,Kings,C-F,SAC,Sacramento,West,Pacific
666438,Javon,Bess,19,New Orleans Pelicans,Pelicans,G,NOP,New Orleans,West,Southwest
666440,Kavell,Bigby-Williams,19,New Orleans Pelicans,Pelicans,C,NOP,New Orleans,West,Southwest
415,Iman,Shumpert,3,Brooklyn Nets,Nets,G,BKN,Brooklyn,East,Atlantic
3090,Jaron,Blossomgame,11,Houston Rockets,Rockets,,HOU,Houston,West,Southwest
666457,Phil,Booth,30,Washington Wizards,Wizards,G,WAS,Washington,East,Southeast
1936,Jeremy,Pargo,10,Golden State Warriors,Warriors,,GSW,Golden State,West,Pacific
17895754,Tyree,White,17,Milwaukee Bucks,Bucks,F,MIL,Milwaukee,East,Central
2116373,Dusty,Hannahs,15,Memphis Grizzlies,Grizzlies,G,MEM,Memphis,West,Southwest
2106,Eric,Moreland,1,Atlanta Hawks,Hawks,,ATL,Atlanta,East,Southeast
298,Jarell,Martin,29,Utah Jazz,Jazz,F,UTA,Utah,West,Northwest
666488,Perrion,Callandret,5,Chicago Bulls,Bulls,G,CHI,Chicago,East,Central
92,Troy,Caupain,25,Portland Trail Blazers,Trail Blazers,G,POR,Portland,West,Northwest
96,Joe,Chealey,4,Charlotte Hornets,Hornets,G,CHA,Charlotte,East,Southeast
666529,Jon,Davis,22,Orlando Magic,Magic,G,ORL,Orlando,East,Southeast
666576,Abdul,Gaddy,21,Oklahoma City Thunder,Thunder,G,OKC,Oklahoma City,West,Northwest
666580,JaKeenan,Gant,12,Indiana Pacers,Pacers,F,IND,Indiana,East,Central
45947,Donte,Grantham,13,LA Clippers,Clippers,,LAC,LA,West,Pacific
190,Daniel,Hamilton,8,Denver Nuggets,Nuggets,G-F,DEN,Denver,West,Northwest
198,Andrew,Harrison,10,Golden State Warriors,Warriors,G,GSW,Golden State,West,Pacific
2222,Myke,Henry,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
3092,Haywood,Highsmith,23,Philadelphia 76ers,76ers,,PHI,Philadelphia,East,Atlantic
